2016-08-08 00.17.26,-24641,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.18.11,-24637,Batt:lo, Id:40/3, Temp: 69.4, Hum:51
2016-08-08 00.18.14,-24636,Batt:ok, Id:ab/7, Temp: 71.6, Hum:44
2016-08-08 00.18.17,-24635,Batt:ok, Id:c0/8, Temp: 72.7, Hum:48
2016-08-08 00.18.23,-24634,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.18.25,-24633,Batt:ok, Id:f3/4, Temp: 88.7, Hum:48
2016-08-08 00.18.36,-24632,Batt:ok, Id:1f/1, Temp: 81.8, Hum:86
2016-08-08 00.19.10,-24629,Batt:lo, Id:40/3, Temp: 69.4, Hum:51
2016-08-08 00.19.20,-24628,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.19.26,-24627,Batt:ok, Id:f3/4, Temp: 88.7, Hum:48
2016-08-08 00.19.27,-24626,Batt:ok, Id:ab/7, Temp: 71.7, Hum:44
2016-08-08 00.19.29,-24625,Batt:ok, Id:1f/1, Temp: 81.7, Hum:86
2016-08-08 00.19.36,-24624,Batt:ok, Id:c0/8, Temp: 72.7, Hum:48
2016-08-08 00.20.09,-24621,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.20.17,-24620,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.20.22,-24619,Batt:ok, Id:1f/1, Temp: 81.7, Hum:86
2016-08-08 00.20.27,-24618,Batt:ok, Id:f3/4, Temp: 88.7, Hum:48
2016-08-08 00.20.40,-24617,Batt:ok, Id:ab/7, Temp: 71.9, Hum:44
2016-08-08 00.20.55,-24616,Batt:ok, Id:c0/8, Temp: 72.8, Hum:48
2016-08-08 00.21.14,-24612,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.21.15,-24611,Batt:ok, Id:1f/1, Temp: 81.7, Hum:86
2016-08-08 00.21.28,-24610,Batt:ok, Id:f3/4, Temp: 88.7, Hum:48
2016-08-08 00.21.53,-24609,Batt:ok, Id:ab/7, Temp: 71.9, Hum:44
2016-08-08 00.22.07,-24608,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.22.08,-24607,Batt:ok, Id:1f/1, Temp: 81.7, Hum:86
2016-08-08 00.22.14,-24605,Batt:ok, Id:c0/8, Temp: 72.9, Hum:48
2016-08-08 00.22.29,-24603,Batt:ok, Id:f3/4, Temp: 88.7, Hum:48
2016-08-08 00.23.01,-24602,Batt:ok, Id:1f/1, Temp: 81.7, Hum:86
2016-08-08 00.23.08,-24600,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.23.30,-24597,Batt:ok, Id:f3/4, Temp: 88.6, Hum:48
2016-08-08 00.23.33,-24596,Batt:ok, Id:c0/8, Temp: 72.9, Hum:48
2016-08-08 00.23.54,-24595,Batt:ok, Id:1f/1, Temp: 81.7, Hum:86
2016-08-08 00.24.05,-24594,Batt:lo, Id:40/3, Temp: 69.6, Hum:51
2016-08-08 00.24.05,-24593,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.24.19,-24592,Batt:ok, Id:ab/7, Temp: 71.9, Hum:44
2016-08-08 00.24.31,-24590,Batt:ok, Id:f3/4, Temp: 88.6, Hum:48
2016-08-08 00.24.47,-24588,Batt:ok, Id:1f/1, Temp: 81.6, Hum:86
2016-08-08 00.24.52,-24587,Batt:ok, Id:c0/8, Temp: 72.9, Hum:48
2016-08-08 00.25.02,-24586,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.25.04,-24585,Batt:lo, Id:40/3, Temp: 69.6, Hum:51
2016-08-08 00.25.32,-24584,Batt:ok, Id:ab/7, Temp: 71.9, Hum:44
2016-08-08 00.25.40,-24582,Batt:ok, Id:1f/1, Temp: 81.7, Hum:86
2016-08-08 00.25.59,-24580,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.26.03,-24579,Batt:lo, Id:40/3, Temp: 69.6, Hum:51
2016-08-08 00.26.11,-24578,Batt:ok, Id:c0/8, Temp: 72.9, Hum:48
2016-08-08 00.26.45,-24575,Batt:ok, Id:ab/7, Temp: 71.8, Hum:44
2016-08-08 00.26.56,-24574,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.27.02,-24573,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.27.26,-24571,Batt:ok, Id:1f/1, Temp: 81.6, Hum:86
2016-08-08 00.27.30,-24570,Batt:ok, Id:c0/8, Temp: 72.9, Hum:48
2016-08-08 00.27.34,-24569,Batt:ok, Id:f3/4, Temp: 88.6, Hum:48
2016-08-08 00.27.53,-24567,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.27.58,-24566,Batt:ok, Id:ab/7, Temp: 71.8, Hum:44
2016-08-08 00.28.01,-24565,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.28.19,-24563,Batt:ok, Id:1f/1, Temp: 81.6, Hum:86
2016-08-08 00.28.35,-24562,Batt:ok, Id:f3/4, Temp: 88.5, Hum:48
2016-08-08 00.28.49,-24561,Batt:ok, Id:c0/8, Temp: 72.9, Hum:48
2016-08-08 00.28.50,-24560,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.29.00,-24558,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.29.11,-24557,Batt:ok, Id:ab/7, Temp: 71.7, Hum:44
2016-08-08 00.29.12,-24556,Batt:ok, Id:1f/1, Temp: 81.5, Hum:86
2016-08-08 00.29.36,-24554,Batt:ok, Id:f3/4, Temp: 88.5, Hum:48
2016-08-08 00.29.47,-24553,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.29.59,-24552,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.30.05,-24550,Batt:ok, Id:1f/1, Temp: 81.6, Hum:86
2016-08-08 00.30.08,-24549,Batt:ok, Id:c0/8, Temp: 72.9, Hum:47
2016-08-08 00.30.24,-24548,Batt:ok, Id:ab/7, Temp: 71.6, Hum:44
2016-08-08 00.30.37,-24546,Batt:ok, Id:f3/4, Temp: 88.6, Hum:48
2016-08-08 00.30.44,-24545,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.30.58,-24544,Batt:lo, Id:40/3, Temp: 69.4, Hum:51
2016-08-08 00.30.58,-24543,Batt:ok, Id:1f/1, Temp: 81.5, Hum:86
2016-08-08 00.31.27,-24541,Batt:ok, Id:c0/8, Temp: 72.8, Hum:47
2016-08-08 00.31.37,-24540,Batt:ok, Id:ab/7, Temp: 71.6, Hum:44
2016-08-08 00.31.38,-24539,Batt:ok, Id:f3/4, Temp: 88.5, Hum:48
2016-08-08 00.31.41,-24538,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.31.51,-24536,Batt:ok, Id:1f/1, Temp: 81.5, Hum:86
2016-08-08 00.31.57,-24535,Batt:lo, Id:40/3, Temp: 69.3, Hum:50
2016-08-08 00.32.38,-24533,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.32.39,-24532,Batt:ok, Id:f3/4, Temp: 88.5, Hum:48
2016-08-08 00.32.44,-24531,Batt:ok, Id:1f/1, Temp: 81.5, Hum:86
2016-08-08 00.32.46,-24530,Batt:ok, Id:c0/8, Temp: 72.8, Hum:47
2016-08-08 00.32.50,-24529,Batt:ok, Id:ab/7, Temp: 71.4, Hum:44
2016-08-08 00.32.56,-24528,Batt:lo, Id:40/3, Temp: 69.3, Hum:50
2016-08-08 00.33.35,-24525,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.33.37,-24524,Batt:ok, Id:1f/1, Temp: 81.5, Hum:86
2016-08-08 00.33.40,-24523,Batt:ok, Id:f3/4, Temp: 88.5, Hum:48
2016-08-08 00.33.55,-24522,Batt:lo, Id:40/3, Temp: 69.2, Hum:51
2016-08-08 00.34.03,-24521,Batt:ok, Id:ab/7, Temp: 71.5, Hum:44
2016-08-08 00.34.05,-24520,Batt:ok, Id:c0/8, Temp: 72.8, Hum:47
2016-08-08 00.34.30,-24517,Batt:ok, Id:1f/1, Temp: 81.4, Hum:86
2016-08-08 00.34.32,-24516,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.34.41,-24515,Batt:ok, Id:f3/4, Temp: 88.4, Hum:48
2016-08-08 00.34.54,-24514,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.35.16,-24513,Batt:ok, Id:ab/7, Temp: 71.4, Hum:44
2016-08-08 00.35.23,-24511,Batt:ok, Id:1f/1, Temp: 81.4, Hum:86
2016-08-08 00.35.24,-24510,Batt:ok, Id:c0/8, Temp: 72.8, Hum:47
2016-08-08 00.35.29,-24509,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.35.42,-24507,Batt:ok, Id:f3/4, Temp: 88.5, Hum:48
2016-08-08 00.35.53,-24506,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.36.16,-24505,Batt:ok, Id:1f/1, Temp: 81.4, Hum:86
2016-08-08 00.36.26,-24504,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.36.29,-24503,Batt:ok, Id:ab/7, Temp: 71.5, Hum:44
2016-08-08 00.36.52,-24498,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.37.09,-24497,Batt:ok, Id:1f/1, Temp: 81.4, Hum:86
2016-08-08 00.37.23,-24496,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.37.44,-24494,Batt:ok, Id:f3/4, Temp: 88.4, Hum:48
2016-08-08 00.37.51,-24492,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.38.20,-24490,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
